WARNING - utils.py - 2023-06-28 14:23:43,845 - No checkpoint found at 20230628_adult/checkpoints-meta/checkpoint.pth. Returned the same state as input
INFO - run_lib.py - 2023-06-28 14:23:44,772 - train shape : (36178, 105)
INFO - run_lib.py - 2023-06-28 14:23:44,773 - eval.shape : (9044, 15)
INFO - run_lib.py - 2023-06-28 14:23:44,773 - batch size: 1000
INFO - run_lib.py - 2023-06-28 14:23:44,845 - raw data : Counter({0.0: 27217, 1.0: 8961})
INFO - run_lib.py - 2023-06-28 14:23:44,846 - DataParallel(
  (module): NCSNpp(
    (act): LeakyReLU(negative_slope=0.2)
    (all_modules): ModuleList(
      (0): GaussianFourierProjection()
      (1): Linear(in_features=128, out_features=256, bias=True)
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ConcatSquashLinear(
        (_layer): Linear(in_features=105, out_features=256, bias=True)
        (_hyper_bias): Linear(in_features=1, out_features=256, bias=False)
        (_hyper_gate): Linear(in_features=1, out_features=256, bias=True)
      )
      (4): LeakyReLU(negative_slope=0.2)
      (5): ConcatSquashLinear(
        (_layer): Linear(in_features=361, out_features=512, bias=True)
        (_hyper_bias): Linear(in_features=1, out_features=512, bias=False)
        (_hyper_gate): Linear(in_features=1, out_features=512, bias=True)
      )
      (6): LeakyReLU(negative_slope=0.2)
      (7): ConcatSquashLinear(
        (_layer): Linear(in_features=873, out_features=1024, bias=True)
        (_hyper_bias): Linear(in_features=1, out_features=1024, bias=False)
        (_hyper_gate): Linear(in_features=1, out_features=1024, bias=True)
      )
      (8): LeakyReLU(negative_slope=0.2)
      (9): ConcatSquashLinear(
        (_layer): Linear(in_features=1897, out_features=1024, bias=True)
        (_hyper_bias): Linear(in_features=1, out_features=1024, bias=False)
        (_hyper_gate): Linear(in_features=1, out_features=1024, bias=True)
      )
      (10): LeakyReLU(negative_slope=0.2)
      (11): ConcatSquashLinear(
        (_layer): Linear(in_features=2921, out_features=512, bias=True)
        (_hyper_bias): Linear(in_features=1, out_features=512, bias=False)
        (_hyper_gate): Linear(in_features=1, out_features=512, bias=True)
      )
      (12): LeakyReLU(negative_slope=0.2)
      (13): ConcatSquashLinear(
        (_layer): Linear(in_features=3433, out_features=256, bias=True)
        (_hyper_bias): Linear(in_features=1, out_features=256, bias=False)
        (_hyper_gate): Linear(in_features=1, out_features=256, bias=True)
      )
      (14): LeakyReLU(negative_slope=0.2)
      (15): Linear(in_features=3689, out_features=105, bias=True)
    )
  )
)
INFO - run_lib.py - 2023-06-28 14:23:44,847 - Starting training loop at epoch 0.
INFO - run_lib.py - 2023-06-28 14:23:52,280 - epoch: 0, iter: 36, training_loss: 1.01913e+00
INFO - run_lib.py - 2023-06-28 14:24:49,948 - sampling data : Counter({0.0: 28286, 1.0: 7892})
INFO - run_lib.py - 2023-06-28 14:24:49,949 - epoch: 0, binary_f1: 0.18496484586262843
INFO - run_lib.py - 2023-06-28 14:24:52,571 - epoch: 1, iter: 36, training_loss: 9.45900e-01
INFO - run_lib.py - 2023-06-28 14:24:54,311 - epoch: 2, iter: 36, training_loss: 9.50404e-01
INFO - run_lib.py - 2023-06-28 14:24:55,967 - epoch: 3, iter: 36, training_loss: 1.14531e+00
INFO - run_lib.py - 2023-06-28 14:24:57,651 - epoch: 4, iter: 36, training_loss: 1.05558e+00
INFO - run_lib.py - 2023-06-28 14:24:59,501 - epoch: 5, iter: 36, training_loss: 1.11627e+00
INFO - run_lib.py - 2023-06-28 14:25:01,336 - epoch: 6, iter: 36, training_loss: 1.14075e+00
INFO - run_lib.py - 2023-06-28 14:25:03,110 - epoch: 7, iter: 36, training_loss: 1.28258e+00
INFO - run_lib.py - 2023-06-28 14:25:04,826 - epoch: 8, iter: 36, training_loss: 1.27382e+00
INFO - run_lib.py - 2023-06-28 14:25:06,583 - epoch: 9, iter: 36, training_loss: 1.27477e+00
INFO - run_lib.py - 2023-06-28 14:25:08,277 - epoch: 10, iter: 36, training_loss: 1.27232e+00
INFO - run_lib.py - 2023-06-28 14:25:10,021 - epoch: 11, iter: 36, training_loss: 1.35378e+00
INFO - run_lib.py - 2023-06-28 14:25:11,830 - epoch: 12, iter: 36, training_loss: 1.33986e+00
INFO - run_lib.py - 2023-06-28 14:25:13,664 - epoch: 13, iter: 36, training_loss: 1.42968e+00
INFO - run_lib.py - 2023-06-28 14:25:15,527 - epoch: 14, iter: 36, training_loss: 1.39777e+00
INFO - run_lib.py - 2023-06-28 14:25:17,340 - epoch: 15, iter: 36, training_loss: 1.29701e+00
INFO - run_lib.py - 2023-06-28 14:25:19,026 - epoch: 16, iter: 36, training_loss: 1.34856e+00
INFO - run_lib.py - 2023-06-28 14:25:20,864 - epoch: 17, iter: 36, training_loss: 1.67533e+00
INFO - run_lib.py - 2023-06-28 14:25:22,651 - epoch: 18, iter: 36, training_loss: 1.48710e+00
INFO - run_lib.py - 2023-06-28 14:25:24,447 - epoch: 19, iter: 36, training_loss: 1.40445e+00
INFO - run_lib.py - 2023-06-28 14:25:26,258 - epoch: 20, iter: 36, training_loss: 1.14134e+00
INFO - run_lib.py - 2023-06-28 14:25:27,988 - epoch: 21, iter: 36, training_loss: 1.43376e+00
INFO - run_lib.py - 2023-06-28 14:25:29,837 - epoch: 22, iter: 36, training_loss: 1.39831e+00
INFO - run_lib.py - 2023-06-28 14:25:31,609 - epoch: 23, iter: 36, training_loss: 1.57545e+00
